sced_timestamp,market,location,location_type,lmp
2023-01-01 05:10:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.65
2023-01-01 05:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.37
2023-01-01 05:20:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.65
2023-01-01 05:25:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-3.0
2023-01-01 05:30:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-3.0
2023-01-01 05:35:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.65
2023-01-01 05:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.64
2023-01-01 05:45:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.34
2023-01-01 05:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.34
2023-01-01 05:55:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.38
2023-01-01 06:00:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.65
2023-01-01 06:05:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.65
2023-01-01 06:10:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.39
2023-01-01 06:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.35
2023-01-01 06:20:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.34
2023-01-01 06:25:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.33
2023-01-01 06:30:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.33
2023-01-01 06:35:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-2.02
2023-01-01 06:40:20+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.53
2023-01-01 06:45:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.68
2023-01-01 06:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.69
2023-01-01 06:55:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.53
2023-01-01 07:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.53
2023-01-01 07:05:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.53
2023-01-01 07:10:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.53
2023-01-01 07:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.52
2023-01-01 07:20:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.32
2023-01-01 07:25:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.44
2023-01-01 07:30:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.05
2023-01-01 07:35:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.05
2023-01-01 07:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.52
2023-01-01 07:45:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.52
2023-01-01 07:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.99
2023-01-01 07:55:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.99
2023-01-01 08:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.05
2023-01-01 08:05:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.0
2023-01-01 08:10:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.01
2023-01-01 08:15:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 08:20:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.0
2023-01-01 08:25:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.0
2023-01-01 08:30:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.01
2023-01-01 08:35:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.01
2023-01-01 08:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 08:45:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 08:50:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.05
2023-01-01 08:55:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 09:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.09
2023-01-01 09:05:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.03
2023-01-01 09:10:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.04
2023-01-01 09:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 09:20:11+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.01
2023-01-01 09:25:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 09:30:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 09:35:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.01
2023-01-01 09:40:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 09:45:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 09:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 09:55:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 10:00:19+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 10:05:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 10:10:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.01
2023-01-01 10:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 10:20:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 10:25:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 10:30:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 10:35:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.41
2023-01-01 10:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.68
2023-01-01 10:45:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.56
2023-01-01 10:50:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.67
2023-01-01 10:55:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 11:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.65
2023-01-01 11:05:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.51
2023-01-01 11:10:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 11:15:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 11:20:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 11:25:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-1.5
2023-01-01 11:30:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.83
2023-01-01 11:35:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,-0.01
2023-01-01 11:40:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 11:45:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.0
2023-01-01 11:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,0.01
2023-01-01 11:55:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,1.93
2023-01-01 12:00:18+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.34
2023-01-01 12:05:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.33
2023-01-01 12:10:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.09
2023-01-01 12:15:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.52
2023-01-01 12:20:16+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.52
2023-01-01 12:25:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.17
2023-01-01 12:30:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,2.59
2023-01-01 12:35:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,3.42
2023-01-01 12:40:15+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,4.93
2023-01-01 12:45:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,6.2
2023-01-01 12:50:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,6.81
2023-01-01 12:55:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,9.1
2023-01-01 13:00:17+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,10.49
2023-01-01 13:05:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.23
2023-01-01 13:10:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.27
2023-01-01 13:15:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.95
2023-01-01 13:20:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,14.16
2023-01-01 13:25:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.41
2023-01-01 13:30:13+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,11.98
2023-01-01 13:35:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.31
2023-01-01 13:40:12+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,18.31
2023-01-01 13:45:14+00:00,REAL_TIME_SCED,AZURE_BES1,Electrical Bus,16.41
